t (d),Precipitation (cm/d),Irrigation (cm/d),ET0 (cm/d),top_BC (cm),bot_BC (cm),Contaminated_water_flux (cm/d),PFAS_mass_flux (mg/d/cm^2)
431,0,0,0.047888826,-999999.99,-999999.99,0,0
432,0,0,0.056427897,-999999.99,-999999.99,0,0
433,0,0,0.033976388,-999999.99,-999999.99,0,0
434,0,0,0.003630307,-999999.99,-999999.99,0,0
435,0,0,-0.003060462,-999999.99,-999999.99,0,0
436,0,0,0.114842036,-999999.99,-999999.99,0,0
437,0,0,0.050281807,-999999.99,-999999.99,0,0
438,0,0,0.033126403,-999999.99,-999999.99,0,0
439,0,0,0.040810011,-999999.99,-999999.99,0,0
440,0,0,0.01646512,-999999.99,-999999.99,0,0
441,0,0,0.004835544,-999999.99,-999999.99,0,0
442,0,0,0.006973239,-999999.99,-999999.99,0,0
443,0,0,0.011562938,-999999.99,-999999.99,0,0
444,0,0,0.104922195,-999999.99,-999999.99,0,0
445,0,0,0.040085269,-999999.99,-999999.99,0,0
446,0,0,0.036869588,-999999.99,-999999.99,0,0
447,0,0,0.019181765,-999999.99,-999999.99,0,0
448,0,0,0.013925534,-999999.99,-999999.99,0,0
449,0,0,0.016315596,-999999.99,-999999.99,0,0
450,0,0,0.010738724,-999999.99,-999999.99,0,0
451,0,0,0.012247022,-999999.99,-999999.99,0,0
452,0,0,0.038533872,-999999.99,-999999.99,0,0
453,0,0,-0.00411629,-999999.99,-999999.99,0,0
454,0,0,0.007738527,-999999.99,-999999.99,0,0
455,0,0,0.008503329,-999999.99,-999999.99,0,0
456,0,0,0.004242594,-999999.99,-999999.99,0,0
457,0,0,0.016576815,-999999.99,-999999.99,0,0
458,0,0,0.005965521,-999999.99,-999999.99,0,0
459,0,0,0.00260405,-999999.99,-999999.99,0,0
460,0,0,0.005808532,-999999.99,-999999.99,0,0
461,0,0,0.007616499,-999999.99,-999999.99,0,0
462,0,0,0.013979295,-999999.99,-999999.99,0,0
463,0,0,0.011808987,-999999.99,-999999.99,0,0
464,0,0,0.013341126,-999999.99,-999999.99,0,0
465,0,0,-0.017783164,-999999.99,-999999.99,0,0
466,0,0,0.012946101,-999999.99,-999999.99,0,0
467,0,0,0.003245765,-999999.99,-999999.99,0,0
468,0,0,0.012293625,-999999.99,-999999.99,0,0
469,0,0,-0.002933868,-999999.99,-999999.99,0,0
470,0,0,0.016536708,-999999.99,-999999.99,0,0
471,0,0,0.006848144,-999999.99,-999999.99,0,0
472,0,0,0.006221949,-999999.99,-999999.99,0,0
473,0,0,0.007979551,-999999.99,-999999.99,0,0
474,0,0,0.008335612,-999999.99,-999999.99,0,0
475,0,0,0.014319952,-999999.99,-999999.99,0,0
476,0,0,0.007015853,-999999.99,-999999.99,0,0
477,0,0,0.005611038,-999999.99,-999999.99,0,0
478,0,0,0.001808513,-999999.99,-999999.99,0,0
